"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","categories","mechanics"
"3-8","1","1","4","3.000-3.999","194626","Happy Salmon","4","3.999","1","3-8","1.0584","6.64714","System.Object[]","Real-Time"
"2-6","1","5","5","4.000-4.999","4279","Flux","5","4.999","3","2-6","1.3846","5.45436","System.Object[]","Hexagon Grid"
"2-5","2","5","5","4.000-4.999","136063","Forbidden Desert","5","4.749","1","2-5","2.0413","7.05943","System.Object[]","System.Object[]"
"2","3","5","5","4.000-4.999","171226","Starfighter","5","4.5","1","2","2.7742","6.6619","System.Object[]","System.Object[]"
"1-8","4","5","5","4.000-4.999","247567","D-Day Dice Pocket","5","4.25","1","1-8","1.125","6.37574","System.Object[]","System.Object[]"
"1-5","5","5","5","4.000-4.999","163170","Firefly: Shiny Dice","5","4","1","1-5","1.875","5.45363","System.Object[]","System.Object[]"
"1-4","1","26","6","5.000-5.999","223779","Pocket Mars","6.9","5.999","6","1-4","2.3151","6.41536","System.Object[]","System.Object[]"
"2-6","2","26","6","5.000-5.999","220700","Cobra Paw","6.9","5.959","1","2-6","1","6.27284","System.Object[]","System.Object[]"
"2-5","3","26","6","5.000-5.999","156009","Port Royal","6.7","5.919","1","2-5","1.6332","7.10379","System.Object[]","System.Object[]"
"2-5","4","26","6","5.000-5.999","14996","Ticket to Ride: Europe","6.5","5.879","1","2-5","1.9155","7.5238","Trains","System.Object[]"
"1-2","5","26","6","5.000-5.999","179275","One Deck Dungeon","6.3","5.839","1","1-2","2.0928","6.93457","System.Object[]","System.Object[]"
"2-4","6","26","6","5.000-5.999","147299","Pocket Imperium","6.2","5.799","1","2-4","1.9459","6.18682","System.Object[]","System.Object[]"
"2","7","26","6","5.000-5.999","118048","Targi","6","5.759","10","2","2.3424","7.58799","System.Object[]","System.Object[]"
"3-7","8","26","6","5.000-5.999","12942","No Thanks!","6","5.719","7","3-7","1.1299","7.08036","Card Game","System.Object[]"
"2-6","9","26","6","5.000-5.999","11971","Cockroach Poker","6","5.679","6","2-6","1.0969","6.80185","System.Object[]","System.Object[]"
"2-8","10","26","6","5.000-5.999","178900","Codenames","6","5.639","5","2-8","1.2553","7.525","System.Object[]","System.Object[]"
"3-8","11","26","6","5.000-5.999","143741","BANG! The Dice Game","6","5.599","5","3-8","1.2789","6.8764","System.Object[]","System.Object[]"
"2-4","12","26","6","5.000-5.999","811","Rummikub","6","5.559","5","2-4","1.707","6.52182","System.Object[]","System.Object[]"
"2-4","13","26","6","5.000-5.999","303554","Winter Kingdom","6","5.519","4","2-4","2.6154","7.2734","System.Object[]","System.Object[]"
"2","14","26","6","5.000-5.999","122298","Morels","6","5.48","2","2","1.7366","6.96732","System.Object[]","System.Object[]"
"5-10","15","26","6","5.000-5.999","41114","The Resistance","6","5.44","1","5-10","1.5908","7.19032","System.Object[]","System.Object[]"
"1","16","26","6","5.000-5.999","337070","Arkham Noir: Case #3 – Infinite Gulfs of Darkness","6","5.4","1","1","3.0909","7.10918","System.Object[]","System.Object[]"
"2-4","17","26","6","5.000-5.999","193322","Master of Orion: The Board Game","6","5.36","1","2-4","2.4384","6.90738","System.Object[]","System.Object[]"
"2-4","18","26","6","5.000-5.999","309297","SCOPE Stalingrad","6","5.32","1","2-4","1.5333","6.82875","System.Object[]","System.Object[]"
"1-4","19","26","6","5.000-5.999","345088","Founders of Teotihuacan","6","5.28","1","1-4","2.8158","6.82855","System.Object[]","System.Object[]"
"1-6","20","26","6","5.000-5.999","376747","Deep Dive","6","5.24","1","1-6","1.1136","6.61365","System.Object[]","System.Object[]"
"3-6","21","26","6","5.000-5.999","160968","Homeland: The Game","6","5.2","1","3-6","2.6531","6.49403","System.Object[]","System.Object[]"
"3-5","22","26","6","5.000-5.999","105593","Cheating Moth","6","5.16","1","3-5","1.162","6.40597","System.Object[]","Hand Management"
"1-4","23","26","6","5.000-5.999","240957","Judge Dredd: The Cursed Earth","6","5.12","1","1-4","2.1667","6.38983","System.Object[]","System.Object[]"
"2-8","24","26","6","5.000-5.999","234190","Unstable Unicorns","6","5.08","1","2-8","1.4906","6.22622","System.Object[]","System.Object[]"
"1-5","25","26","6","5.000-5.999","230251","Mint Delivery","6","5.04","1","1-5","1.6316","6.1537","System.Object[]","System.Object[]"
